Group_Name,Deadline_Passed_Message_ID,__IsPublic,__ISBlogEnabled,__ISWebEnabled,Enable_Waiting_List,Child_Care_Available,Meeting_Time,,
(t+auto) Avalanche,,N,Y,Y,,,,,
(t) FI Oakley Coffee Team,,N,Y,Y,,,,,
(t) Fathers Oakley CG,58,,,,1,,,,
(t) Fathers Oakley CG - Waitlist,58,,,,,,,,Updates group with Group_Name
(t) KC Oakley Kindergarten,58,N,Y,Y,,,,,"Group_Name is required, all else is optional"
(t) KC Oakley Nursery,58,N,Y,Y,,,,,
(t+auto) Serve Shinra Electric Power Company,,N,Y,Y,,,,,"If cell is left blank, Null will be inserted into MP"
(t) Superbowl Oakley Group,58,,,,,,,,
(t) KidsClub Oakley Group,58,,,,,,,,
(t) 1Time Mason Group with ChildCare,59,,,,,1,,,
(t+auto) Band of the Red Hand,58,,,,,,,,
(t+auto) The Next Generation,58,,,,,,17:00:00,,
(t) Albert E,58,,,,,,,,
(t) Stephen H,58,,,,,,,,
